-10,-10,0
-10,-9,0
-10,-8,0
-10,-7,0
-10,-6,0
-10,-5,0
-10,-4,0
-10,-3,0
-10,-2,0
-10,-1,0
-10,0,0
-10,1,0
-10,2,0
-10,3,0
-10,4,0
-10,5,0
-10,6,0
-10,7,0
-10,8,0
-10,9,0
-10,10,0
-9,-10,0
-9,-9,0
-9,-8,0
-9,-7,0
-9,-6,0
-9,-5,0
-9,-4,0
-9,-3,0
-9,-2,0
-9,-1,0
-9,0,0
-9,1,0
-9,2,0
-9,3,0
-9,4,0
-9,5,0
-9,6,0
-9,7,0
-9,8,0
-9,9,0
-9,10,0
-8,-10,0
-8,-9,0
-8,-8,0
-8,-7,0
-8,-6,0
-8,-5,0
-8,-4,0
-8,-3,0
-8,-2,0
-8,-1,0
-8,0,0
-8,1,0
-8,2,0
-8,3,0
-8,4,0
-8,5,0
-8,6,0
-8,7,0
-8,8,0
-8,9,0
-8,10,0
-7,-10,0
-7,-9,0
-7,-8,0
-7,-7,0
-7,-6,0
-7,-5,0
-7,-4,0
-7,-3,0
-7,-2,0
-7,-1,0
-7,0,0
-7,1,0
-7,2,0
-7,3,0
-7,4,0
-7,5,0
-7,6,0
-7,7,0
-7,8,0
-7,9,0
-7,10,0
-6,-10,0
-6,-9,0
-6,-8,0
-6,-7,0
-6,-6,0
-6,-5,0
-6,-4,0
-6,-3,0
-6,-2,0
-6,-1,0
-6,0,0
-6,1,0
-6,2,0
-6,3,0
-6,4,0
-6,5,0
-6,6,0
-6,7,0
-6,8,0
-6,9,0
-6,10,0
-5,-10,0
-5,-9,0
-5,-8,0
-5,-7,0
-5,-6,0
-5,-5,0
-5,-4,0
-5,-3,0
-5,-2,0
-5,-1,0
-5,0,0
-5,1,0
-5,2,0
-5,3,0
-5,4,0
-5,5,0
-5,6,0
-5,7,0
-5,8,0
-5,9,0
-5,10,0
-4,-10,0
-4,-9,0
-4,-8,0
-4,-7,0
-4,-6,0
-4,-5,0
-4,-4,0
-4,-3,0
-4,-2,0
-4,-1,0
-4,0,0
-4,1,0
-4,2,0
-4,3,0
-4,4,0
-4,5,0
-4,6,0
-4,7,0
-4,8,0
-4,9,0
-4,10,0
-3,-10,0
-3,-9,0
-3,-8,0
-3,-7,0
-3,-6,0
-3,-5,0
-3,-4,0
-3,-3,0
-3,-2,0
-3,-1,0
-3,0,0
-3,1,0
-3,2,0
-3,3,0
-3,4,0
-3,5,0
-3,6,0
-3,7,0
-3,8,0
-3,9,0
-3,10,0
-2,-10,0
-2,-9,0
-2,-8,0
-2,-7,0
-2,-6,0
-2,-5,0
-2,-4,0
-2,-3,0
-2,-2,0
-2,-1,0
-2,0,0
-2,1,0
-2,2,0
-2,3,0
-2,4,0
-2,5,0
-2,6,0
-2,7,0
-2,8,0
-2,9,0
-2,10,0
-1,-10,0
-1,-9,0
-1,-8,0
-1,-7,0
-1,-6,0
-1,-5,0
-1,-4,0
-1,-3,0
-1,-2,0
-1,-1,0
-1,0,0
-1,1,0
-1,2,0
-1,3,0
-1,4,0
-1,5,0
-1,6,0
-1,7,0
-1,8,0
-1,9,0
-1,10,0
0,-10,0
0,-9,0
0,-8,0
0,-7,0
0,-6,0
0,-5,0
0,-4,0
0,-3,0
0,-2,0
0,-1,0
0,0,1
0,1,2
0,2,3
0,3,4
0,4,5
0,5,6
0,6,7
0,7,8
0,8,9
0,9,10
0,10,11
1,-10,0
1,-9,0
1,-8,0
1,-7,0
1,-6,0
1,-5,0
1,-4,0
1,-3,0
1,-2,0
1,-1,0
1,0,2
1,1,4
1,2,6
1,3,8
1,4,10
1,5,12
1,6,14
1,7,16
1,8,18
1,9,20
1,10,22
2,-10,0
2,-9,0
2,-8,0
2,-7,0
2,-6,0
2,-5,0
2,-4,0
2,-3,0
2,-2,0
2,-1,0
2,0,3
2,1,6
2,2,9
2,3,12
2,4,15
2,5,18
2,6,21
2,7,24
2,8,27
2,9,30
2,10,33
3,-10,0
3,-9,0
3,-8,0
3,-7,0
3,-6,0
3,-5,0
3,-4,0
3,-3,0
3,-2,0
3,-1,0
3,0,4
3,1,8
3,2,12
3,3,16
3,4,20
3,5,24
3,6,28
3,7,32
3,8,36
3,9,40
3,10,44
4,-10,0
4,-9,0
4,-8,0
4,-7,0
4,-6,0
4,-5,0
4,-4,0
4,-3,0
4,-2,0
4,-1,0
4,0,5
4,1,10
4,2,15
4,3,20
4,4,25
4,5,30
4,6,35
4,7,40
4,8,45
4,9,50
4,10,55
5,-10,0
5,-9,0
5,-8,0
5,-7,0
5,-6,0
5,-5,0
5,-4,0
5,-3,0
5,-2,0
5,-1,0
5,0,6
5,1,12
5,2,18
5,3,24
5,4,30
5,5,36
5,6,42
5,7,48
5,8,54
5,9,60
5,10,66
6,-10,0
6,-9,0
6,-8,0
6,-7,0
6,-6,0
6,-5,0
6,-4,0
6,-3,0
6,-2,0
6,-1,0
6,0,7
6,1,14
6,2,21
6,3,28
6,4,35
6,5,42
6,6,49
6,7,56
6,8,63
6,9,70
6,10,77
7,-10,0
7,-9,0
7,-8,0
7,-7,0
7,-6,0
7,-5,0
7,-4,0
7,-3,0
7,-2,0
7,-1,0
7,0,8
7,1,16
7,2,24
7,3,32
7,4,40
7,5,48
7,6,56
7,7,64
7,8,72
7,9,80
7,10,88
8,-10,0
8,-9,0
8,-8,0
8,-7,0
8,-6,0
8,-5,0
8,-4,0
8,-3,0
8,-2,0
8,-1,0
8,0,9
8,1,18
8,2,27
8,3,36
8,4,45
8,5,54
8,6,63
8,7,72
8,8,81
8,9,90
8,10,99
9,-10,0
9,-9,0
9,-8,0
9,-7,0
9,-6,0
9,-5,0
9,-4,0
9,-3,0
9,-2,0
9,-1,0
9,0,10
9,1,20
9,2,30
9,3,40
9,4,50
9,5,60
9,6,70
9,7,80
9,8,90
9,9,100
9,10,110
10,-10,0
10,-9,0
10,-8,0
10,-7,0
10,-6,0
10,-5,0
10,-4,0
10,-3,0
10,-2,0
10,-1,0
10,0,11
10,1,22
10,2,33
10,3,44
10,4,55
10,5,66
10,6,77
10,7,88
10,8,99
10,9,110
10,10,121
